year,microbiome_search,genomics_search,proteomics_search,metabolomics_search,lipidomics_search,phenomics_search,transcriptomics_search,ml_search,bioinfo_search,pharma_search,all_search,microb_res,genom_res,proteo_res,metabol_res,lipid_res,pheno_res,transcr_res,ml_res,bioinfo_res,pharma_res,all_res
1982,microbiome OR metagenomics OR metagenome AND 1982[PDAT],genomics AND 1982[PDAT],proteomics AND 1982[PDAT],metabolomics AND 1982[PDAT],lipidomics AND 1982[PDAT],phenomics AND 1982[PDAT],transcriptomics AND 1982[PDAT],(machine learning) AND 1982[PDAT],(bioinformatic*) AND 1982[PDAT],(pharmacogenomics*) AND 1982[PDAT],1982[PDAT],8,0,0,0,0,0,0,4,0,0,295771
1983,microbiome OR metagenomics OR metagenome AND 1983[PDAT],genomics AND 1983[PDAT],proteomics AND 1983[PDAT],metabolomics AND 1983[PDAT],lipidomics AND 1983[PDAT],phenomics AND 1983[PDAT],transcriptomics AND 1983[PDAT],(machine learning) AND 1983[PDAT],(bioinformatic*) AND 1983[PDAT],(pharmacogenomics*) AND 1983[PDAT],1983[PDAT],11,0,0,0,0,0,0,3,0,0,309532
1984,microbiome OR metagenomics OR metagenome AND 1984[PDAT],genomics AND 1984[PDAT],proteomics AND 1984[PDAT],metabolomics AND 1984[PDAT],lipidomics AND 1984[PDAT],phenomics AND 1984[PDAT],transcriptomics AND 1984[PDAT],(machine learning) AND 1984[PDAT],(bioinformatic*) AND 1984[PDAT],(pharmacogenomics*) AND 1984[PDAT],1984[PDAT],10,0,0,0,0,0,0,3,0,0,318253
1985,microbiome OR metagenomics OR metagenome AND 1985[PDAT],genomics AND 1985[PDAT],proteomics AND 1985[PDAT],metabolomics AND 1985[PDAT],lipidomics AND 1985[PDAT],phenomics AND 1985[PDAT],transcriptomics AND 1985[PDAT],(machine learning) AND 1985[PDAT],(bioinformatic*) AND 1985[PDAT],(pharmacogenomics*) AND 1985[PDAT],1985[PDAT],20,0,0,0,0,0,0,5,0,0,335370
1986,microbiome OR metagenomics OR metagenome AND 1986[PDAT],genomics AND 1986[PDAT],proteomics AND 1986[PDAT],metabolomics AND 1986[PDAT],lipidomics AND 1986[PDAT],phenomics AND 1986[PDAT],transcriptomics AND 1986[PDAT],(machine learning) AND 1986[PDAT],(bioinformatic*) AND 1986[PDAT],(pharmacogenomics*) AND 1986[PDAT],1986[PDAT],11,0,0,0,0,0,0,6,0,0,349736
1987,microbiome OR metagenomics OR metagenome AND 1987[PDAT],genomics AND 1987[PDAT],proteomics AND 1987[PDAT],metabolomics AND 1987[PDAT],lipidomics AND 1987[PDAT],phenomics AND 1987[PDAT],transcriptomics AND 1987[PDAT],(machine learning) AND 1987[PDAT],(bioinformatic*) AND 1987[PDAT],(pharmacogenomics*) AND 1987[PDAT],1987[PDAT],14,55,0,0,0,0,0,3,5,0,367993
1988,microbiome OR metagenomics OR metagenome AND 1988[PDAT],genomics AND 1988[PDAT],proteomics AND 1988[PDAT],metabolomics AND 1988[PDAT],lipidomics AND 1988[PDAT],phenomics AND 1988[PDAT],transcriptomics AND 1988[PDAT],(machine learning) AND 1988[PDAT],(bioinformatic*) AND 1988[PDAT],(pharmacogenomics*) AND 1988[PDAT],1988[PDAT],27,116,0,0,0,0,0,7,1,0,387043
1989,microbiome OR metagenomics OR metagenome AND 1989[PDAT],genomics AND 1989[PDAT],proteomics AND 1989[PDAT],metabolomics AND 1989[PDAT],lipidomics AND 1989[PDAT],phenomics AND 1989[PDAT],transcriptomics AND 1989[PDAT],(machine learning) AND 1989[PDAT],(bioinformatic*) AND 1989[PDAT],(pharmacogenomics*) AND 1989[PDAT],1989[PDAT],25,269,0,0,0,0,0,8,5,0,402806
1990,microbiome OR metagenomics OR metagenome AND 1990[PDAT],genomics AND 1990[PDAT],proteomics AND 1990[PDAT],metabolomics AND 1990[PDAT],lipidomics AND 1990[PDAT],phenomics AND 1990[PDAT],transcriptomics AND 1990[PDAT],(machine learning) AND 1990[PDAT],(bioinformatic*) AND 1990[PDAT],(pharmacogenomics*) AND 1990[PDAT],1990[PDAT],24,420,0,0,0,0,0,7,2,0,410892
1991,microbiome OR metagenomics OR metagenome AND 1991[PDAT],genomics AND 1991[PDAT],proteomics AND 1991[PDAT],metabolomics AND 1991[PDAT],lipidomics AND 1991[PDAT],phenomics AND 1991[PDAT],transcriptomics AND 1991[PDAT],(machine learning) AND 1991[PDAT],(bioinformatic*) AND 1991[PDAT],(pharmacogenomics*) AND 1991[PDAT],1991[PDAT],24,628,0,0,0,0,0,12,3,0,413208
1992,microbiome OR metagenomics OR metagenome AND 1992[PDAT],genomics AND 1992[PDAT],proteomics AND 1992[PDAT],metabolomics AND 1992[PDAT],lipidomics AND 1992[PDAT],phenomics AND 1992[PDAT],transcriptomics AND 1992[PDAT],(machine learning) AND 1992[PDAT],(bioinformatic*) AND 1992[PDAT],(pharmacogenomics*) AND 1992[PDAT],1992[PDAT],26,743,0,0,0,0,0,15,1,0,418028
1993,microbiome OR metagenomics OR metagenome AND 1993[PDAT],genomics AND 1993[PDAT],proteomics AND 1993[PDAT],metabolomics AND 1993[PDAT],lipidomics AND 1993[PDAT],phenomics AND 1993[PDAT],transcriptomics AND 1993[PDAT],(machine learning) AND 1993[PDAT],(bioinformatic*) AND 1993[PDAT],(pharmacogenomics*) AND 1993[PDAT],1993[PDAT],18,753,1,0,0,0,0,22,7,0,427596
1994,microbiome OR metagenomics OR metagenome AND 1994[PDAT],genomics AND 1994[PDAT],proteomics AND 1994[PDAT],metabolomics AND 1994[PDAT],lipidomics AND 1994[PDAT],phenomics AND 1994[PDAT],transcriptomics AND 1994[PDAT],(machine learning) AND 1994[PDAT],(bioinformatic*) AND 1994[PDAT],(pharmacogenomics*) AND 1994[PDAT],1994[PDAT],17,792,0,0,0,0,0,24,13,0,438827
1995,microbiome OR metagenomics OR metagenome AND 1995[PDAT],genomics AND 1995[PDAT],proteomics AND 1995[PDAT],metabolomics AND 1995[PDAT],lipidomics AND 1995[PDAT],phenomics AND 1995[PDAT],transcriptomics AND 1995[PDAT],(machine learning) AND 1995[PDAT],(bioinformatic*) AND 1995[PDAT],(pharmacogenomics*) AND 1995[PDAT],1995[PDAT],31,832,0,0,0,0,0,32,14,0,449220
1996,microbiome OR metagenomics OR metagenome AND 1996[PDAT],genomics AND 1996[PDAT],proteomics AND 1996[PDAT],metabolomics AND 1996[PDAT],lipidomics AND 1996[PDAT],phenomics AND 1996[PDAT],transcriptomics AND 1996[PDAT],(machine learning) AND 1996[PDAT],(bioinformatic*) AND 1996[PDAT],(pharmacogenomics*) AND 1996[PDAT],1996[PDAT],35,847,0,0,0,0,0,30,46,0,458725
1997,microbiome OR metagenomics OR metagenome AND 1997[PDAT],genomics AND 1997[PDAT],proteomics AND 1997[PDAT],metabolomics AND 1997[PDAT],lipidomics AND 1997[PDAT],phenomics AND 1997[PDAT],transcriptomics AND 1997[PDAT],(machine learning) AND 1997[PDAT],(bioinformatic*) AND 1997[PDAT],(pharmacogenomics*) AND 1997[PDAT],1997[PDAT],53,864,1,0,0,1,0,34,69,1,456873
1998,microbiome OR metagenomics OR metagenome AND 1998[PDAT],genomics AND 1998[PDAT],proteomics AND 1998[PDAT],metabolomics AND 1998[PDAT],lipidomics AND 1998[PDAT],phenomics AND 1998[PDAT],transcriptomics AND 1998[PDAT],(machine learning) AND 1998[PDAT],(bioinformatic*) AND 1998[PDAT],(pharmacogenomics*) AND 1998[PDAT],1998[PDAT],60,922,22,0,0,0,1,31,247,11,474745
1999,microbiome OR metagenomics OR metagenome AND 1999[PDAT],genomics AND 1999[PDAT],proteomics AND 1999[PDAT],metabolomics AND 1999[PDAT],lipidomics AND 1999[PDAT],phenomics AND 1999[PDAT],transcriptomics AND 1999[PDAT],(machine learning) AND 1999[PDAT],(bioinformatic*) AND 1999[PDAT],(pharmacogenomics*) AND 1999[PDAT],1999[PDAT],57,1033,60,0,0,1,1,35,314,29,493930
2000,microbiome OR metagenomics OR metagenome AND 2000[PDAT],genomics AND 2000[PDAT],proteomics AND 2000[PDAT],metabolomics AND 2000[PDAT],lipidomics AND 2000[PDAT],phenomics AND 2000[PDAT],transcriptomics AND 2000[PDAT],(machine learning) AND 2000[PDAT],(bioinformatic*) AND 2000[PDAT],(pharmacogenomics*) AND 2000[PDAT],2000[PDAT],83,1662,220,2,0,1,2,58,506,104,532620
2001,microbiome OR metagenomics OR metagenome AND 2001[PDAT],genomics AND 2001[PDAT],proteomics AND 2001[PDAT],metabolomics AND 2001[PDAT],lipidomics AND 2001[PDAT],phenomics AND 2001[PDAT],transcriptomics AND 2001[PDAT],(machine learning) AND 2001[PDAT],(bioinformatic*) AND 2001[PDAT],(pharmacogenomics*) AND 2001[PDAT],2001[PDAT],76,2463,525,6,0,2,4,82,726,184,547631
